Topic,Top Words and Probabilities
Topic 0,"london (0.006923), crew (0.005250), hours (0.005185), check (0.004958), british (0.004736), told (0.004586), plane (0.004512), food (0.004487), airways (0.004390), days (0.004180)"
Topic 1,"service (0.013841), seat (0.009914), class (0.009791), london (0.009666), business (0.008823), staff (0.007174), food (0.006442), airways (0.006184), british (0.006142), first (0.005405)"
Topic 2,"service (0.011332), british (0.009464), airways (0.009195), seat (0.008258), told (0.007093), customer (0.006577), london (0.006499), staff (0.006024), fly (0.005988), seats (0.005875)"
Topic 3,"us (0.010352), hours (0.006411), one (0.006219), staff (0.006074), british (0.005936), airways (0.005761), london (0.005724), ticket (0.005154), airline (0.005149), refund (0.005102)"
Topic 4,"class (0.014262), business (0.010223), seats (0.009882), seat (0.008589), service (0.007504), club (0.007207), even (0.006806), food (0.006005), economy (0.005908), poor (0.005888)"
Topic 5,"business (0.015256), class (0.014156), seats (0.011128), seat (0.009835), food (0.007908), passengers (0.006876), service (0.005970), good (0.005634), flights (0.005501), back (0.004947)"
Topic 6,"service (0.013371), one (0.009054), staff (0.008743), airport (0.008214), customer (0.008027), london (0.006921), time (0.006825), luggage (0.005624), told (0.005532), check (0.004992)"
Topic 7,"us (0.011945), hours (0.010263), get (0.009468), cancelled (0.008556), british (0.007727), would (0.007673), airways (0.007498), london (0.007472), airline (0.006929), service (0.006855)"
Topic 8,"london (0.008595), arrived (0.007598), customer (0.006319), time (0.005692), late (0.005578), baggage (0.005250), airways (0.005155), british (0.005048), service (0.004955), air (0.004534)"
Topic 9,"crew (0.009651), seat (0.008448), one (0.007791), food (0.007586), class (0.007001), economy (0.006085), business (0.005965), seats (0.005541), would (0.005462), london (0.005026)"
